Date,Open,High,Low,Close,Adj Close,Volume
2025-09-19,100.61,100.62,100.61,100.62,100.62,11104200
2025-09-18,100.58,100.58,100.57,100.58,100.58,13414500
2025-09-17,100.57,100.57,100.56,100.56,100.56,10381200
2025-09-16,100.55,100.56,100.55,100.55,100.55,11551900
2025-09-15,100.53,100.54,100.53,100.53,100.53,15288300
2025-09-12,100.53,100.54,100.53,100.53,100.53,10482000
2025-09-11,100.50,100.50,100.49,100.50,100.50,9136600
2025-09-10,100.48,100.49,100.48,100.48,100.48,9356600
2025-09-09,100.48,100.48,100.47,100.47,100.47,11005500
2025-09-08,100.46,100.47,100.46,100.47,100.47,12715100
2025-09-05,100.45,100.45,100.44,100.44,100.44,15312000
2025-09-04,100.42,100.42,100.41,100.42,100.42,11300200
2025-09-03,100.39,100.40,100.39,100.40,100.40,14296000
2025-09-02,100.39,100.39,100.38,100.39,100.39,27254500
2025-08-29,100.72,100.74,100.72,100.74,100.38,21369400
2025-08-28,100.68,100.69,100.68,100.68,100.32,8816600
2025-08-27,100.68,100.68,100.67,100.67,100.31,7384600
2025-08-26,100.67,100.67,100.66,100.66,100.30,8741600
2025-08-25,100.65,100.66,100.65,100.66,100.30,13556000
2025-08-22,100.64,100.64,100.63,100.64,100.28,13160400
2025-08-21,100.61,100.61,100.60,100.60,100.24,8765300
2025-08-20,100.60,100.60,100.59,100.60,100.24,10922100
2025-08-19,100.59,100.59,100.58,100.58,100.22,10474900
2025-08-18,100.57,100.58,100.56,100.58,100.22,14768500
2025-08-15,100.56,100.56,100.55,100.55,100.19,9493900
2025-08-14,100.52,100.53,100.52,100.52,100.16,9798900
2025-08-13,100.51,100.52,100.50,100.51,100.15,12144800
2025-08-12,100.50,100.50,100.49,100.49,100.13,12918200
2025-08-11,100.49,100.49,100.48,100.49,100.13,12940300
2025-08-08,100.47,100.48,100.47,100.48,100.12,12066300
2025-08-07,100.44,100.44,100.43,100.43,100.07,10823000
2025-08-06,100.43,100.43,100.42,100.43,100.07,10653900
2025-08-05,100.41,100.42,100.41,100.42,100.06,12350300
2025-08-04,100.40,100.41,100.40,100.41,100.05,14766400
2025-08-01,100.39,100.40,100.39,100.39,100.03,26832500
2025-07-31,100.71,100.72,100.71,100.72,100.00,19051200
2025-07-30,100.70,100.71,100.70,100.71,99.99,9106000
2025-07-29,100.69,100.70,100.69,100.69,99.97,8622300
2025-07-28,100.68,100.69,100.68,100.69,99.97,11581000
2025-07-25,100.67,100.67,100.66,100.66,99.94,9776600
2025-07-24,100.63,100.64,100.63,100.64,99.92,10701600
2025-07-23,100.63,100.63,100.62,100.63,99.91,8056100
2025-07-22,100.62,100.62,100.61,100.62,99.90,9340600
2025-07-21,100.59,100.60,100.59,100.60,99.88,12893000
2025-07-18,100.58,100.59,100.58,100.59,99.87,9399500
2025-07-17,100.56,100.56,100.55,100.56,99.84,9040400
2025-07-16,100.54,100.55,100.54,100.55,99.83,8117900
2025-07-15,100.53,100.53,100.52,100.52,99.80,10207100
2025-07-14,100.52,100.52,100.51,100.51,99.79,10293900
2025-07-11,100.50,100.51,100.50,100.51,99.79,9288900
2025-07-10,100.47,100.48,100.46,100.47,99.75,10071700
2025-07-09,100.46,100.46,100.45,100.45,99.73,11156600
2025-07-08,100.45,100.46,100.44,100.46,99.74,13107800
2025-07-07,100.44,100.44,100.43,100.44,99.72,12363900
2025-07-03,100.42,100.43,100.42,100.42,99.70,7404700
2025-07-02,100.38,100.38,100.37,100.37,99.65,10850800
2025-07-01,100.37,100.37,100.36,100.37,99.65,24173900
2025-06-30,100.69,100.70,100.69,100.69,99.63,18195600
2025-06-27,100.68,100.69,100.68,100.69,99.63,9742300
2025-06-26,100.66,100.66,100.65,100.65,99.59,9277700
2025-06-25,100.64,100.65,100.64,100.64,99.58,8015100
2025-06-24,100.64,100.64,100.63,100.63,99.57,10132100
2025-06-23,100.61,100.62,100.61,100.62,99.56,8847300
2025-06-20,100.61,100.61,100.60,100.60,99.54,9399400
2025-06-18,100.57,100.57,100.56,100.56,99.50,9783400
2025-06-17,100.55,100.55,100.54,100.54,99.48,8734500
2025-06-16,100.54,100.54,100.53,100.53,99.47,10286500
2025-06-13,100.52,100.53,100.52,100.53,99.47,7880300
2025-06-12,100.49,100.49,100.48,100.49,99.43,9574900
2025-06-11,100.47,100.48,100.47,100.48,99.42,10138800
2025-06-10,100.46,100.47,100.46,100.46,99.40,9201800
2025-06-09,100.45,100.46,100.45,100.45,99.39,9902100
2025-06-06,100.44,100.45,100.44,100.44,99.38,9122400
2025-06-05,100.41,100.41,100.40,100.41,99.35,9915800
2025-06-04,100.39,100.40,100.39,100.40,99.34,8923800
2025-06-03,100.39,100.39,100.38,100.39,99.33,11979500
2025-06-02,100.38,100.38,100.37,100.38,99.32,21934000
2025-05-30,100.71,100.72,100.71,100.71,99.29,14209500
2025-05-29,100.68,100.69,100.67,100.68,99.26,10387000
2025-05-28,100.68,100.68,100.67,100.68,99.26,8415200
2025-05-27,100.66,100.66,100.65,100.65,99.23,10526600
2025-05-23,100.65,100.65,100.64,100.64,99.22,9119400
2025-05-22,100.60,100.61,100.60,100.61,99.19,8901700
2025-05-21,100.59,100.59,100.58,100.59,99.17,11325900
2025-05-20,100.58,100.58,100.57,100.58,99.16,9249100
2025-05-19,100.57,100.57,100.56,100.56,99.14,15759100
2025-05-16,100.55,100.56,100.55,100.55,99.13,10109300
2025-05-15,100.52,100.52,100.51,100.51,99.09,10057600
2025-05-14,100.50,100.51,100.50,100.51,99.09,9821100
2025-05-13,100.49,100.50,100.49,100.50,99.08,18174400
2025-05-12,100.48,100.49,100.48,100.48,99.06,16808300
2025-05-09,100.47,100.48,100.47,100.48,99.06,11793700
2025-05-08,100.44,100.45,100.43,100.45,99.03,11931100
2025-05-07,100.43,100.43,100.42,100.42,99.00,8509300
2025-05-06,100.42,100.42,100.41,100.41,98.99,8986000
2025-05-05,100.41,100.41,100.40,100.41,98.99,13223700
2025-05-02,100.39,100.40,100.39,100.40,98.99,13930900
2025-05-01,100.37,100.37,100.36,100.37,98.96,21288700
2025-04-30,100.67,100.69,100.67,100.69,98.94,16040200
2025-04-29,100.66,100.67,100.66,100.66,98.91,8555000
2025-04-28,100.65,100.66,100.65,100.65,98.90,9127900
2025-04-25,100.65,100.65,100.64,100.65,98.90,8822700
2025-04-24,100.62,100.62,100.61,100.61,98.86,12068700
2025-04-23,100.60,100.61,100.59,100.61,98.86,19135100
2025-04-22,100.59,100.59,100.58,100.58,98.83,11603400
2025-04-21,100.58,100.58,100.57,100.57,98.82,10756100
2025-04-17,100.57,100.58,100.57,100.57,98.82,8652700
2025-04-16,100.53,100.53,100.52,100.53,98.78,8840000
2025-04-15,100.51,100.51,100.50,100.51,98.76,10043700
2025-04-14,100.49,100.50,100.49,100.50,98.75,13772300
2025-04-11,100.49,100.49,100.48,100.49,98.74,12916600
2025-04-10,100.44,100.45,100.44,100.44,98.69,16851500
2025-04-09,100.43,100.44,100.43,100.44,98.69,21838800
2025-04-08,100.42,100.43,100.41,100.42,98.68,17116100
2025-04-07,100.41,100.42,100.41,100.42,98.68,22564000
2025-04-04,100.40,100.41,100.40,100.41,98.67,22826300
2025-04-03,100.37,100.38,100.36,100.38,98.64,13988800
2025-04-02,100.36,100.36,100.35,100.36,98.62,10658900
2025-04-01,100.35,100.35,100.34,100.35,98.61,21033200
2025-03-31,100.67,100.68,100.67,100.67,98.58,18210800
2025-03-28,100.66,100.67,100.66,100.67,98.58,11747100
2025-03-27,100.64,100.64,100.63,100.64,98.55,10022000
2025-03-26,100.63,100.63,100.62,100.63,98.54,12262200
2025-03-25,100.61,100.61,100.60,100.61,98.52,13844800
2025-03-24,100.61,100.61,100.60,100.60,98.51,13854600
2025-03-21,100.59,100.59,100.58,100.58,98.49,13101800
2025-03-20,100.56,100.56,100.55,100.55,98.46,12648500
2025-03-19,100.54,100.55,100.54,100.55,98.46,13584800
2025-03-18,100.53,100.53,100.52,100.53,98.44,9213100
2025-03-17,100.52,100.52,100.51,100.52,98.43,9018300
2025-03-14,100.51,100.51,100.50,100.51,98.42,11421900
2025-03-13,100.46,100.48,100.46,100.48,98.39,13110600
2025-03-12,100.46,100.46,100.45,100.45,98.37,11307300
2025-03-11,100.44,100.45,100.44,100.45,98.37,11456900
2025-03-10,100.44,100.44,100.43,100.43,98.35,14768100
2025-03-07,100.43,100.43,100.42,100.43,98.35,8962400
2025-03-06,100.39,100.40,100.38,100.40,98.32,9925500
2025-03-05,100.37,100.38,100.37,100.37,98.29,7162600
2025-03-04,100.37,100.37,100.36,100.37,98.29,11543100
2025-03-03,100.36,100.36,100.35,100.36,98.28,17436600
2025-02-28,100.65,100.66,100.65,100.65,98.25,13772600
2025-02-27,100.63,100.63,100.62,100.63,98.24,10807800
